Dataset,Image_File,Prompt,IoU,Dice,Inference_Time_sec
drywall,IMG_8224_JPG_jpg.rf.e48f9983e55b64f86609fae0cd0be1f3.jpg,segment taping area,0.3278,0.4937,0.7946
drywall,IMG_8275_JPG_jpg.rf.f23ebc8bdeb649f3b4cb6aa8b00f7a83.jpg,segment taping area,0.3410,0.5086,0.5224
drywall,IMG_8202_JPG_jpg.rf.eb464a259fd963788b0ad8bda43daa2e.jpg,segment taping area,0.2716,0.4272,0.5218
drywall,IMG_20220627_111127-jpg_1500x2000_jpg.rf.e3c99397ae17aca554b18a49a93c1bfe.jpg,segment taping area,0.1328,0.2345,0.5307
drywall,2000x1500_15_resized_jpg.rf.e81ec1bc2f1811998026f776a78b76f3.jpg,segment taping area,0.0840,0.1550,0.5241
drywall,IMG_20220627_111048-jpg_1500x2000_jpg.rf.f2541a7b02fc11d1f94d28c47ca91324.jpg,segment taping area,0.0892,0.1639,0.5297
drywall,IMG_20220627_111718-jpg_1500x2000_jpg.rf.efebc8e2f88500025962ad846fbfbfd2.jpg,segment taping area,0.4003,0.5718,0.5249
drywall,IMG_20220627_111149-jpg_1500x2000_jpg.rf.f0b969a63efd4f98a7a3c5fa2d92824c.jpg,segment taping area,0.3166,0.4809,0.5291
drywall,IMG_8206_JPG_jpg.rf.e8ce129990c39b44df154b0d117ad7b9.jpg,segment taping area,0.3901,0.5612,0.5254
drywall,2000x1500_49_resized_jpg.rf.ed20615e4b45a28ecde3bc767e2d29c4.jpg,segment taping area,0.2623,0.4156,0.5328
drywall,IMG_8240_JPG_jpg.rf.e7e858f5846ea79fd39daf111ed81528.jpg,segment taping area,0.2951,0.4557,0.5273
drywall,IMG_8208_JPG_jpg.rf.f13a712c80cdad5a4d4b4dd630ae7474.jpg,segment taping area,0.6011,0.7509,0.5323
drywall,IMG_8223_JPG_jpg.rf.fc85d8f8388dc6ecf67a682d0432fa33.jpg,segment taping area,0.3905,0.5617,0.5254
drywall,IMG_20220627_110945-jpg_1500x2000_jpg.rf.e0ed4bd30af142dc46dffc081eda1069.jpg,segment taping area,0.2359,0.3818,0.5402
drywall,IMG_8289_JPG_jpg.rf.fdd4f9f45f09202b31d51c84666a8e87.jpg,segment taping area,0.1290,0.2285,0.5278
drywall,2000x1500_85_resized_jpg.rf.f5958ece43375699b71ba621135a1afc.jpg,segment taping area,0.4073,0.5788,0.5266
drywall,IMG_8264_JPG_jpg.rf.f08362b8289064f72e17c05e109ce6e6.jpg,segment taping area,0.4707,0.6401,0.5296
drywall,IMG_8220_JPG_jpg.rf.fa8d665f8ee3c598709e2829e0f1a4db.jpg,segment taping area,0.1542,0.2673,0.5309
drywall,IMG_20220627_110945-jpg_1500x2000_jpg.rf.f094f2b0565ecbe801e9164293cd5ba7.jpg,segment taping area,0.4037,0.5752,0.5499
drywall,IMG_8306_JPG_jpg.rf.f5810c76b560809ae23ae821b85a3d5b.jpg,segment taping area,0.4244,0.5959,0.5282
drywall,IMG_8221_JPG_jpg.rf.f852eb8aed1648bfea129a29c37bcb1d.jpg,segment taping area,0.4135,0.5851,0.5271
drywall,2000x1500_69_resized_jpg.rf.f3dd71409562d1837a8794021b592448.jpg,segment taping area,0.0464,0.0887,0.5321
drywall,IMG_8216_JPG_jpg.rf.069e0b925a406c76fd6d1d4db2e2f7c5.jpg,segment taping area,0.3279,0.4939,0.5267
drywall,2000x1500_11_resized_jpg.rf.01095e351975e8296930b300aa4a282c.jpg,segment taping area,0.0000,0.0000,0.0098
drywall,2000x1500_73_resized_jpg.rf.0a52c94d74c60cf175007c4ea0d5c41f.jpg,segment taping area,0.1260,0.2238,0.5258
drywall,IMG_8216_JPG_jpg.rf.09ab1871dcba103cc6cca3fc324785dd.jpg,segment taping area,0.1762,0.2996,0.5292
